Entity,Year,Gold_true,Gold_trend,Gold_trend_std,Total_true,Total_trend,Total_trend_std,Split
Moldova,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1984,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1988,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1992,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Moldova,1996,0.0,0.6206924676895141,0.16948130963684352,2.0,2.2302955627441405,0.8996627944026236,train
Moldova,2000,0.0,0.7153530836105346,0.19032908262914083,2.0,2.5526006698608397,0.9769118706903855,train
Moldova,2004,0.0,0.7840441226959228,0.19554459281009098,0.0,2.7884859085083007,1.0022208715648846,train
Moldova,2008,0.0,0.7383706331253052,0.17228035083739604,1.0,2.635056495666504,0.9184157740583113,train
Moldova,2012,0.0,0.7170975208282471,0.1770630675331396,0.0,2.5606220245361326,0.9329112547512323,train
Moldova,2016,0.0,0.6543103933334351,0.17200575097891496,0.0,2.345773696899414,0.9109589525521297,train
Moldova,2020,0.0,0.645011568069458,0.1680881983458117,1.0,2.3141171455383303,0.8970605231605524,val
Moldova,2024,0.0,0.6676949024200439,0.1798028624525253,4.0,2.3903839111328127,0.9376466183522708,val
Mongolia,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Mongolia,1968,0.0,0.6206924676895141,0.16948130963684352,4.0,2.2302955627441405,0.8996627944026236,train
Mongolia,1972,0.0,0.8133792400360107,0.21230025599769986,1.0,2.8842419624328612,1.059505819063843,train
